time,open,high,low,close,volume,SMA_short,SMA_long,RSI
2026-02-19 09:00:00+00:00,154.816,154.866,154.816,154.862,271,,,
2026-02-19 09:01:00+00:00,154.86,154.868,154.854,154.856,181,,,
2026-02-19 09:02:00+00:00,154.856,154.867,154.852,154.852,155,,,
2026-02-19 09:03:00+00:00,154.854,154.858,154.844,154.857,118,,,
2026-02-19 09:04:00+00:00,154.86,154.86,154.818,154.826,121,,,
2026-02-19 09:05:00+00:00,154.828,154.831,154.792,154.818,214,,,
2026-02-19 09:06:00+00:00,154.818,154.837,154.816,154.818,145,,,
2026-02-19 09:07:00+00:00,154.819,154.844,154.816,154.838,94,,,
2026-02-19 09:08:00+00:00,154.836,154.847,154.82,154.847,131,,,
2026-02-19 09:09:00+00:00,154.846,154.854,154.83,154.834,95,,,
2026-02-19 09:10:00+00:00,154.834,154.847,154.821,154.822,170,,,
2026-02-19 09:11:00+00:00,154.821,154.83,154.804,154.829,164,,,
2026-02-19 09:12:00+00:00,154.828,154.851,154.824,154.842,119,,,
2026-02-19 09:13:00+00:00,154.844,154.876,154.843,154.875,112,,,54.03726708074765
2026-02-19 09:14:00+00:00,154.876,154.9,154.874,154.886,132,,,56.976744186048045
2026-02-19 09:15:00+00:00,154.887,154.932,154.884,154.929,173,,,67.46411483253979
2026-02-19 09:16:00+00:00,154.93,154.935,154.916,154.918,167,,,65.27777777777979
2026-02-19 09:17:00+00:00,154.917,154.921,154.903,154.906,160,,,60.98654708520402
2026-02-19 09:18:00+00:00,154.906,154.914,154.894,154.914,101,,,72.00000000000284
2026-02-19 09:19:00+00:00,154.914,154.942,154.912,154.934,123,154.86315,,77.35849056603571
2026-02-19 09:20:00+00:00,154.936,154.94,154.916,154.928,157,154.86645,,75.229357798163
2026-02-19 09:21:00+00:00,154.925,154.925,154.91,154.916,104,154.86945,,68.57142857142857
2026-02-19 09:22:00+00:00,154.916,154.952,154.915,154.94,192,154.87385,,70.66666666666481
2026-02-19 09:23:00+00:00,154.938,154.938,154.914,154.915,137,154.87675,,67.08860759493473
2026-02-19 09:24:00+00:00,154.915,154.948,154.915,154.948,196,154.88285,,74.4186046511628
2026-02-19 09:25:00+00:00,154.948,154.949,154.926,154.948,142,154.88935,,73.70517928286803
2026-02-19 09:26:00+00:00,154.948,154.954,154.939,154.949,168,154.8959,,72.38493723849317
2026-02-19 09:27:00+00:00,154.95,154.955,154.947,154.954,141,154.9017,,68.72037914692014
2026-02-19 09:28:00+00:00,154.954,154.976,154.952,154.963,164,154.9075,,68.42105263157822
2026-02-19 09:29:00+00:00,154.963,154.964,154.938,154.941,133,154.91285,,53.191489361702445
2026-02-19 09:30:00+00:00,154.94,154.94,154.917,154.937,102,154.9186,,55.24861878453238
2026-02-19 09:31:00+00:00,154.936,154.936,154.902,154.903,96,154.9223,,49.261083743838846
2026-02-19 09:32:00+00:00,154.902,154.928,154.902,154.927,139,154.92655000000002,,52.96803652968126
2026-02-19 09:33:00+00:00,154.924,154.924,154.878,154.88,118,154.92680000000001,,39.024390243902445
2026-02-19 09:34:00+00:00,154.88,154.896,154.878,154.892,135,154.9271,,42.857142857142854
2026-02-19 09:35:00+00:00,154.892,154.892,154.877,154.888,115,154.92505,,44.26229508196893
2026-02-19 09:36:00+00:00,154.886,154.904,154.868,154.894,171,154.92385,,39.82300884955919
2026-02-19 09:37:00+00:00,154.892,154.892,154.866,154.866,170,154.92185,,39.30131004367219
2026-02-19 09:38:00+00:00,154.866,154.896,154.866,154.892,154,154.92075,,37.38738738738203
2026-02-19 09:39:00+00:00,154.892,154.914,154.884,154.908,140,154.91945,,41.59663865545587
2026-02-19 09:40:00+00:00,154.909,154.917,154.904,154.916,97,154.91885000000002,,43.265306122444386
2026-02-19 09:41:00+00:00,154.916,154.916,154.902,154.904,52,154.91825,,40.07936507936097
2026-02-19 09:42:00+00:00,154.904,154.916,154.904,154.906,76,154.91655,,38.36734693877684
2026-02-19 09:43:00+00:00,154.906,154.906,154.866,154.878,116,154.91469999999998,,37.45019920318419
2026-02-19 09:44:00+00:00,154.875,154.875,154.866,154.87,107,154.91080000000002,,36.86274509803755
2026-02-19 09:45:00+00:00,154.87,154.871,154.856,154.859,108,154.90635,,40.51724137931288
2026-02-19 09:46:00+00:00,154.861,154.87,154.806,154.81,256,154.89939999999999,,27.237354085602945
